submissionID,studyCountry,studyCity,studyLon,studyLat,birthCountry,birthCity,birthLat,birthLon,transitCountry1,transitLat1,transitLon1,transitCountry2,transitLat2,transitLon2,transitCountry3,transitLat3,transitLon3,countryID,weight
SInt-SHARP-ZA-154-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Kabul,34.4949,69.3846,,,,,,,,,,1,6
SInt-SHARP-AI-042-PAK,Pakistan,Punjab,31.3589,72.3449,Afghanistan,Kandahar,31.135,65.7163,,,,,,,,,,1,6
SInt-AUTH-NM-274-GRC,Greece,Voreio Aigaio,39.9531,25.2262,Afghanistan,Ghazni,33.4079,67.8006,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,1,6
SInt-AUTH-NM-275-GRC,Greece,Voreio Aigaio,39.9531,25.2262,Afghanistan,Kabul,34.4949,69.3846,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,1,6
SInt-AAU-Asm-021-ET,Ethiopia,Tigray,14.1003,38.2158,Eritrea,Anseba,15.2792,39.0563,,,,,,,,,,3,6
SInt-AUTH-MN-028-GRC,Greece,Attiki,38.0626,23.7997,Syria,Hasaka (Al Haksa),36.3536,40.9092,Turkey,32.38075029,39.52890223,,,,,,,4,6
SInt-SHARP-AI-001-PAK,Pakistan,F.C.T.,33.7011,73.0628,Pakistan,Baluchistan,27.5194,65.5512,,,,,,,,,,5,6
SInt-AUTH-NM-207-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Ghazni,33.4079,67.8006,Turkey,32.38075029,39.52890223,,,,,,,1,5
SInt-SHARP-AI-169-PAK,Pakistan,Sind,26.3734,68.8685,Afghanistan,Faryab,35.8043,64.7678,,,,,,,,,,1,5
SInt-AAU-Bhy-006-ET,Ethiopia,Addis Ababa,8.966,38.7815,Eritrea,Gash Barka,15.0297,37.6058,,,,,,,,,,3,5
SInt-AUTH-NM-214-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Hirat,34.1551,62.4845,Turkey,32.38075029,39.52890223,,,,,,,1,4
SInt-AUTH-NM-241-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Kabul,34.4949,69.3846,Iran,51.71888023,33.94539376,Turkey,32.38075029,39.52890223,,,,1,4
SInt-AUTH-NM-216-GRC,Greece,Attiki,38.0626,23.7997,Afghanistan,Kabul,34.4949,69.3846,Turkey,32.38075029,39.52890223,,,,,,,1,4
