ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0445-EGY,1991,Technological,Technological,Transport accident,Water,,"Ferry ""Salem Express""",Egypt,EGY,Northern Africa,Africa,Coast of Safaga,,,,,,,,,,,,1991,12,14,1991,12,14,460,,,,,,,,
1991-0443-EGY,1991,Technological,Technological,Miscellaneous accident,Collapse,,Irrigation canal,Egypt,EGY,Northern Africa,Africa,Noubariah,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0295-ESP,1991,Natural,Climatological,Wildfire,Land fire (Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0400-ESP,1991,Technological,Technological,Transport accident,Road,,,Spain,ESP,Southern Europe,Europe,Near Bilbao,,,,,,,,,,,,1991,12,6,1991,12,6,17,50,,,50,,,,
1991-0085-ETH,1991,Natural,Geophysical,Mass movement (dry),Landslide,,,Ethiopia,ETH,Eastern Africa,Africa,Hararghe Province,,,,,,,,,,,,1991,4,3,1991,4,3,13,,,,,,,,
1991-0651-ETH,1991,Technological,Technological,Transport accident,Rail,,,Ethiopia,ETH,Eastern Africa,Africa,Near Dire Dawa,,,,,,,,,,,,1991,6,22,1991,6,22,50,,,,,,,,
1991-0336-ETH,1991,Technological,Technological,Industrial accident,Explosion,,Ammunition storage,Ethiopia,ETH,Eastern Africa,Africa,Addis Abeba,,,,,,,m3,,,,,1991,6,4,1991,6,4,100,200,,,200,,,,
1991-0446-ETH,1991,Technological,Technological,Miscellaneous accident,Fire,,,Ethiopia,ETH,Eastern Africa,Africa,Bare (Ogaden),,,,,,,,,,,,1991,12,12,1991,12,12,,,,50000,50000,,,,
1991-0020-FRA,1991,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,,,,,,,,Â°C,,,,,1991,2,,1991,2,,20,,,,,,,,
1991-0497-FRA,1991,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0105-FRA,1991,Technological,Technological,Transport accident,Air,,Mirage and helicoper,France,FRA,Western Europe,Europe,Massif central region,,,,,,,,,,,,1991,4,9,1991,4,9,10,,,,,,,,
