studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Jordan,Irbid,35.8195,32.5559,Syria,4,Jordan,Zarqa,36.8284,31.8095,6,12,12,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Zarqa,36.8284,31.8095,3,12,12,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Netherlands,Zuid-Holland,4.52252,52.0075,4,4,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Switzerland,Zurich,8.6609,47.4297,1,10,1,0,
Italy,Catania,14.969,37.5882,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1,10,9,0,
Italy,Milano,9.1154,45.442,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1,10,9,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,5,10,9,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1,10,9,0,
Italy,Udine,13.1961,46.0839,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1,10,9,0,
Italy,Piacenza,9.58167,44.8704,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,2,7,7,0,
Italy,Rieti,12.9445,42.3382,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1,7,7,0,
Italy,Trieste,13.7799,45.6866,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1,7,7,0,
Italy,Udine,13.1961,46.0839,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,2,7,7,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Afghanistan,,66.2385139,33.7680065,1,7,7,0,
Italy,Turin,7.47211,45.1609,Mali,99,Algeria,,2.9999825,28.0000272,2,2,2,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Angola,,17.5691241,-11.8775768,1,2,2,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Angola,,17.5691241,-11.8775768,1,2,2,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Australia,,134.755,-24.7761086,3,11,6,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Australia,,134.755,-24.7761086,3,11,6,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Australia,,134.755,-24.7761086,2,11,5,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Australia,,134.755,-24.7761086,3,11,5,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Austria,,13.2,47.2,1,2,1,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Austria,,13.2,47.2,1,2,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Belgium,,4.6667145,50.6402809,2,6,4,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Belgium,,4.6667145,50.6402809,2,6,4,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Belgium,,4.6667145,50.6402809,2,6,2,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Brazil,,-53.2,-10.3333333,1,1,1,0,
Italy,Turin,7.47211,45.1609,Burkina Faso,99,Burkina Faso,,-1.6880314,12.0753083,2,2,2,0,
