x1,y1,z1,x2,y2,z2
,,,28,6,25
,,,28,6,25
,,,43,16,30
,,,13,10,25
,,,41,18,46
,,,21,22,41
,,,9,25,55
,,,8,21,31
,,,31,16,49
,,,32,34,37
,,,31,11,38
,,,25,16,32
,,,15,18,22
,,,46,16,37
,,,39,20,37
,,,13,18,41
,,,35,25,26
,,,38,15,32
,,,32,6,35
,,,38,6,36
,,,43,6,28
,,,34,20,31
,,,43,10,45
,,,42,16,25
,,,46,21,51
,,,42,6,31
,,,27,12,41
,,,55,10,39
,,,35,6,26
,,,35,6,24
,,,15,16,31
,,,53,24,31
,,,33,22,38
,,,44,22,27
,,,39,6,22
,,,42,16,25
,,,37,20,37
,,,31,6,27
,,,29,16,41
,,,9,6,28
,,,41,18,37
,,,40,10,27
,,,38,16,28
,,,45,6,27
,,,44,20,37
,,,31,16,30
,,,49,6,27
,,,38,16,27
,,,45,16,31
,,,16,6,25
,,,16,16,32
,,,34,16,26
,,,41,10,26
,,,42,18,27
,,,31,20,38
,,,51,26,27
,,,50,26,25
,,,50,20,29
,,,38,13,22
,,,41,23,29
,,,43,19,32
,,,19,11,30
,,,29,25,41
,,,33,25,32
,,,28,20,35
,,,27,27,41
,,,13,26,41
,,,33,25,41
,,,40,25,46
,,,31,26,40
,,,41,27,41
,,,25,27,59
,,,18,25,41
,,,28,25,42
,,,28,25,42
,,,14,20,42
,,,12,25,42
,,,32,27,41
,,,13,23,41
,,,14,25,44
,,,15,23,40
,,,34,29,38
,,,14,25,45
,,,17,20,36
,,,31,27,47
,,,14,6,26
,,,15,6,26
,,,10,28,26
,,,40,27,48
,,,15,25,40
,,,33,20,44
,,,42,20,38
,,,30,20,43
,,,12,20,44
,,,13,20,41
,,,14,20,39
,,,33,20,46
,,,13,20,33
,,,37,20,39
,,,15,25,36
,,,32,20,31
,,,13,25,44
,,,13,25,45
,,,13,20,44
,,,13,20,44
,,,33,22,43
,,,18,24,41
,,,13,20,44
,,,34,20,44
,,,34,25,44
,,,12,25,56
,,,13,27,44
,,,43,20,44
,,,44,20,44
,,,13,20,44
,,,29,20,44
,,,13,25,46
,,,15,25,43
,,,13,20,43
,,,30,20,35
,,,16,22,29
,,,38,20,39
,,,14,22,39
,,,32,20,44
,,,51,25,43
,,,14,22,45
,,,15,20,38
,,,14,20,36
,,,37,20,36
,,,15,25,41
,,,34,22,37
,,,13,20,45
,,,28,18,44
,,,14,20,40
,,,13,20,44
,,,29,20,44
,,,13,24,44
,,,34,18,45
,,,29,22,41
,,,39,27,43
,,,33,25,44
,,,12,25,59
,,,32,22,49
,,,14,25,44
,,,32,27,49
,,,39,20,39
,,,37,27,45
,,,19,11,16
,,,28,12,26
,,,30,8,33
,,,14,15,23
,,,31,38,28
,,,37,17,36
,,,8,14,24
,,,35,28,18
,,,26,5,38
,,,4,14,38
,,,27,23,39
,,,40,17,31
,,,6,24,43
,,,25,22,37
,,,26,12,26
,,,23,30,46
,,,21,7,32
,,,37,14,35
,,,28,7,26
,,,21,19,29
,,,15,23,15
,,,41,26,30
,,,37,29,31
,,,49,32,38
,,,10,5,37
,,,32,15,49
,,,32,13,62
,,,33,20,69
,,,25,19,49
,,,26,6,39
,,,30,8,38
,,,31,9,46
,,,38,21,43
,,,28,16,26
,,,38,16,46
,,,10,35,34
,,,16,12,35
,,,8,15,26
,,,21,25,44
,,,29,21,21
,,,32,20,31
,,,23,16,27
,,,9,37,23
,,,22,22,43
,,,27,10,42
,,,17,14,41
,,,30,24,45
,,,10,14,24
,,,36,13,51
,,,29,8,32
,,,32,8,25
,,,40,17,31
,,,45,18,22
,,,20,13,33
,,,12,34,36
,,,21,27,36
,,,28,13,30
,,,27,12,23
,,,27,18,26
,,,21,28,34
