submissionID,studyCountry,stud_adm1,lond_stud_adm1,lat_stud_adm1,studyCity,studyLon,studyLat,birthCountry,countryID,birthCity,contactCountry,cont_adm1,long_cont_adm1,lat_cont_adm1,contactCity,contactLon,contactLat,weight	
SInt-SHARP-SK-223-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kandahar,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3141829,31.5656822,7	
SInt-SHARP-AI-178-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Baghlan,Iran,Razavi Khorasan,58.7976,35.584,Mashhad,59.61927416,36.2687579,2	
SInt-SHARP-NS-201-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Baghlan,Pakistan,Sind,68.8685,26.3734,Mirpur Khas,69.0158197,25.52350484,1	
SInt-SHARP-AI-172-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Baghlan,Iran,Tehran,51.6548,35.5146,Tehran,51.3896004,35.6892523,4	
SInt-AUTH-NM-228-GRC,Greece,StereÃ¡ EllÃ¡da,22.6102,38.6373,Tiva,23.31901404,38.32154756,Afghanistan,1,Ghazni,Afghanistan,Ghazni,67.8006,33.4079,Ghazni,67.828989,33.3149631,2	
SInt-FIERI-FR-001-ITA,Italy,Udine,13.1961,46.0839,Udine,13.2359222,46.0626085,Afghanistan,1,Laghman,Belgium,Antwerp,4.72122,51.2485,Antwerpen,4.3997081,51.2211097,1	
SInt-FIERI-FR-005-ITA,Italy,Udine,13.1961,46.0839,Basaldella,13.2359222,46.0626085,Afghanistan,1,Laghman,Afghanistan,Laghman,70.2085,34.7273,Laghman,70.183333,34.783333,3	
SInt-FIERI-FR-002-ITA,Italy,Udine,13.1961,46.0839,Basaldella,13.2359222,46.0626085,Afghanistan,1,Parwan,Afghanistan,Parwan,68.8995,34.9984,Parwan,68.9146703,34.9797014,3	
SInt-FIERI-FR-019-ITA,Italy,Udine,13.1961,46.0839,Udine,13.2359222,46.0626085,Afghanistan,1,Nangarhar,Sweden,SkÃ¥ne,13.5193,55.9073,Malmo,13.0001566,55.6052931,1	
SInt-FIERI-FR-002-ITA,Italy,Udine,13.1961,46.0839,Basaldella,13.2359222,46.0626085,Afghanistan,1,Parwan,Italy,Udine,13.1961,46.0839,Udine,13.23694604,46.0656251,1	
SInt-AUTH-NM-295-GRC,Greece,Voreio Aigaio,25.2262,39.9531,Lesbos,26.28370102,39.29403315,Afghanistan,1,Kabul,Turkey,Ankara,32.578,39.829,Ankara,32.81895689,39.94310256,1	
SInt-AUTH-NM-277-GRC,Greece,Voreio Aigaio,25.2262,39.9531,Chios,26.05713365,38.38279204,Afghanistan,1,Hirat,Greece,Attiki,23.7997,38.0626,Athens,23.7283052,37.9839412,1	
