submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-HAG-004-ET;231;232;3;1;1;2;3;1;#NULL!;15;5;28
SInt-AAU-HAG-005-ET;231;232;3;0;1;4;2;0;#NULL!;15;5;42
SInt-AAU-HAG-007-ET;231;232;3;1;1;4;2;0;#NULL!;13;5;32
SInt-AAU-HAG-008-ET;231;232;3;1;1;3;2;0;#NULL!;15;15;21
SInt-AAU-HAG-009-ET;231;232;3;1;1;1;1;2;#NULL!;23;25;26
SInt-AAU-HAG-011-ET;231;232;3;1;1;3;1;1;#NULL!;10;5;43
SInt-AAU-HAG-012-ET;231;232;3;1;1;4;2;0;#NULL!;11;0;31
SInt-AAU-HAG-013-ET;231;232;3;1;1;4;2;0;#NULL!;12;0;28
SInt-AAU-HAG-014-ET;231;232;3;1;1;2;2;1;#NULL!;8;0;26
SInt-AAU-HAG-015-ET;231;232;3;1;2;3;2;0;#NULL!;13;9;29
SInt-AAU-HAG-016-ET;231;232;3;1;2;2;4;2;#NULL!;9;5;31
SInt-AAU-HAG-017-ET;231;232;3;1;1;4;2;0;#NULL!;8;5;24
SInt-AAU-HAG-018-ET;231;232;3;1;1;2;1;0;#NULL!;12;5;42
SInt-AAU-HAG-019-ET;231;232;3;1;2;3;4;0;#NULL!;11;5;20
SInt-AAU-HAG-020-ET;231;232;3;1;1;1;1;0;#NULL!;10;5;36
SInt-AAU-HAG-021-ET;231;232;3;1;1;3;4;1;#NULL!;10;5;36
SInt-AAU-HAG-022-ET;231;232;3;1;1;4;2;1;#NULL!;7;5;42
SInt-AAU-HAG-023-ET;231;232;3;1;2;3;2;2;#NULL!;13;9;21
SInt-AAU-HAG-024-ET;231;232;3;1;1;2;3;2;#NULL!;8;11;29
SInt-AAU-HAG-025-ET;231;232;3;1;2;2;3;0;#NULL!;18;9;27
SInt-AAU-HAG-026-ET;231;232;3;0;1;4;2;2;#NULL!;47;15;22
SInt-AAU-HAG-027-ET;231;232;3;1;1;6;4;0;#NULL!;10;5;28
SInt-AAU-HAG-028-ET;231;232;3;1;1;3;2;0;#NULL!;10;5;19
SInt-AAU-HAG-029-ET;231;232;3;1;2;3;2;0;#NULL!;16;11;22
SInt-AAU-HAG-030-ET;231;232;3;0;1;5;2;0;#NULL!;12;15;42
